"2002","693","","","","","","",""
"2003","1424","","","","","","",""
"2004","1715","","","","","","",""
"2005","7808","","","","","","",""
"2006","5604","","","","","","",""
"2007","9891","","","","","","",""
"2008","10913","","","","","","",""
"2009","4816","","","","","","",""
"2010","6495","","","","","","",""
"2011","7207","","","","","","",""
"2012","8401","","","","","","",""
"2013","4499","","","","","","",""
"2014","410","","","","","","",""
"2015","-458","","","","","","",""
"2016","3810","","","","","","",""
"2017","3692","","","","","","",""
"2018","4455","","","","","","",""
"2019","5860","","","","","","",""
"2020","-868","","","","","","",""
"2021","6687","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","","мевч"
